Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-01-15,2.8535,2.8725,2.85,2.8705,0.007,2.871,100.0,1799.0
2020-01-14,2.859,2.8775,2.858,2.8775,0.0125,2.878,184.0,1732.0
2020-01-13,2.823,2.865,2.823,2.865,0.0475,2.8655,52.0,1704.0
2020-01-10,2.814,2.8395,2.808,2.817,0.011,2.818,39.0,1706.0
2020-01-09,2.8205,2.8205,2.8,2.8,0.01,2.807,30.0,1699.0
2020-01-08,2.796,2.8165,2.796,2.814,0.0185,2.817,205.0,1597.0
2020-01-07,2.8025,2.8025,2.792,2.8015,0.004,2.7985,272.0,1480.0
2020-01-06,2.777,2.7945,2.777,2.7905,0.003,2.7945,140.0,1418.0
2020-01-03,2.7855,2.7915,2.7855,2.7875,0.038,2.7915,156.0,1279.0
2020-01-02,2.827,2.83,2.8075,2.8255,0.0265,2.8295,90.0,1252.0
2019-12-31,,,,,0.036,2.803,147.0,1139.0
2019-12-30,,,,,0.005,2.839,88.0,1091.0
2019-12-27,2.851,2.851,2.8145,2.8245,0.0195,2.8295,52671.0,164086.0
2019-12-26,2.8375,2.8565,2.8255,2.85,0.0215,2.849,33112.0,160415.0
2019-12-24,2.8095,2.8325,2.8035,2.825,0.019,2.8275,39220.0,159604.0
2019-12-23,2.807,2.8135,2.794,2.8095,0.0025,2.8085,41191.0,159126.0
2019-12-20,2.8255,2.834,2.7985,2.804,0.0205,2.806,53562.0,160171.0
2019-12-19,2.8115,2.8275,2.8005,2.825,0.014,2.8265,43332.0,157964.0
2019-12-18,2.81,2.8145,2.7875,2.811,0.001,2.8125,55766.0,156669.0
2019-12-17,2.8095,2.8265,2.801,2.81,0.002,2.8135,59788.0,156790.0
2019-12-16,2.7865,2.8185,2.7815,2.808,0.0305,2.8115,62771.0,154126.0
2019-12-13,2.8135,2.831,2.7655,2.785,0.0155,2.781,114600.0,152399.0
2019-12-12,2.7945,2.8145,2.7635,2.8095,0.007,2.7965,100849.0,151078.0
2019-12-11,2.766,2.798,2.7575,2.792,0.024,2.7895,77395.0,145883.0
2019-12-10,2.7535,2.77,2.7485,2.764,0.007,2.7655,70816.0,143882.0
2019-12-09,2.7455,2.762,2.72,2.754,0.0335,2.7585,96723.0,142094.0
2019-12-06,2.666,2.7535,2.6645,2.748,0.062,2.725,79533.0,136431.0
2019-12-05,2.662,2.6765,2.6535,2.6665,0.004,2.663,46236.0,138705.0
2019-12-04,2.6265,2.6665,2.6205,2.661,0.036,2.659,72270.0,144376.0
2019-12-03,2.651,2.655,2.6205,2.6265,0.0275,2.623,80722.0,143216.0
2019-12-02,2.662,2.679,2.647,2.6505,0.011,2.6505,63944.0,141071.0
2019-11-29,2.699,2.7005,2.6535,2.661,0.0345,2.6615,72147.0,141715.0
2019-11-27,2.696,2.71,2.6845,2.6985,0.0015,2.696,77524.0,135967.0
2019-11-26,2.6605,2.692,2.6605,2.692,0.034,2.692,834.0,1838.0
2019-11-25,2.663,2.663,2.6535,2.6575,0.002,2.658,769.0,1710.0
2019-11-22,2.6305,2.6565,2.6305,2.6535,0.024,2.656,376.0,1622.0
2019-11-21,2.638,2.641,2.6305,2.632,0.024,2.632,419.0,1555.0
2019-11-20,2.6575,2.666,2.6505,2.6505,0.0075,2.656,756.0,1667.0
2019-11-19,2.665,2.665,2.6555,2.665,0.0335,2.6635,692.0,1636.0
2019-11-18,2.6265,2.63,2.6265,2.63,0.0175,2.63,251.0,1798.0
2019-11-15,2.641,2.6485,2.641,2.6475,0.016,2.6475,232.0,1810.0
2019-11-14,2.6505,2.6555,2.628,2.629,0.0165,2.6315,326.0,1728.0
2019-11-13,2.6515,2.6515,2.6445,2.648,0.006,2.648,316.0,1803.0
2019-11-12,2.6655,2.6655,2.6535,2.6535,0.0185,2.654,278.0,1746.0
2019-11-11,2.6725,2.673,2.67,2.6705,0.0175,2.6725,135.0,1759.0
2019-11-08,2.719,2.719,2.691,2.691,0.0455,2.69,120.0,1757.0
2019-11-07,2.724,2.7365,2.718,2.718,0.0625,2.7355,282.0,1769.0
2019-11-06,2.6935,2.6935,2.6725,2.6735,0.0355,2.673,151.0,1764.0
2019-11-05,2.7095,2.71,2.705,2.71,0.03,2.7085,432.0,1869.0
2019-11-04,2.673,2.6795,2.673,2.6795,0.018,2.6785,238.0,1842.0
2019-11-01,2.653,2.6615,2.6515,2.66,0.0145,2.6605,53.0,1849.0
2019-10-31,2.666,2.669,2.6385,2.6475,0.0475,2.646,124.0,1807.0
2019-10-30,2.697,2.6995,2.684,2.684,0.006,2.6935,69.0,1813.0
2019-10-29,2.677,2.697,2.677,2.6955,0.008,2.696,73.0,1763.0
2019-10-28,2.6845,2.691,2.6805,2.69,0.0075,2.688,70.0,1766.0
2019-10-25,2.6645,2.692,2.6645,2.6805,0.008,2.6805,179.0,1756.0
2019-10-24,2.669,2.6825,2.6655,2.6725,0.0035,2.6725,196.0,1746.0
2019-10-23,2.6385,2.6765,2.6315,2.673,0.0375,2.676,224.0,1770.0
2019-10-22,2.6495,2.6515,2.6365,2.645,0.0125,2.6385,340.0,1744.0
2019-10-21,2.6415,2.6575,2.637,2.649,0.0105,2.651,152.0,1705.0
2019-10-18,2.6145,2.644,2.6145,2.643,0.038,2.6405,139.0,1663.0
2019-10-17,2.5855,2.603,2.5855,2.601,0.0085,2.6025,145.0,1570.0
2019-10-16,2.6085,2.6115,2.5785,2.591,0.0245,2.594,43.0,1591.0
2019-10-15,2.625,2.626,2.612,2.6185,0.02,2.6185,49.0,1580.0
2019-10-14,2.632,2.6385,2.6045,2.635,0.006,2.6385,28.0,1570.0
2019-10-11,2.613,2.6325,2.613,2.6325,0.015,2.6325,213.0,1422.0
2019-10-10,2.5935,2.6205,2.5935,2.6185,0.0455,2.6175,102.0,1395.0
2019-10-09,2.5715,2.5775,2.571,2.573,0.001,2.572,73.0,1392.0
2019-10-08,2.574,2.574,2.5705,2.573,0.008,2.573,173.0,1300.0
2019-10-07,2.5855,2.5875,2.576,2.576,0.0145,2.581,164.0,1287.0
2019-10-04,2.5585,2.569,2.5375,2.568,0.0085,2.5665,181.0,1224.0
2019-10-03,2.57,2.57,2.5585,2.5585,0.0175,2.558,50.0,1218.0
2019-10-02,2.5765,2.582,2.574,2.574,0.0095,2.5755,46.0,1233.0
2019-10-01,2.56,2.568,2.524,2.568,0.0185,2.566,410.0,1374.0
2019-09-30,2.58,2.581,2.58,2.581,0.019,2.5845,65.0,1321.0
2019-09-27,2.617,2.617,2.602,2.604,0.02,2.6035,60.0,1312.0
2019-09-26,2.6115,2.6185,2.5735,2.576,0.0345,2.5775,51994.0,149734.0
2019-09-25,2.604,2.615,2.587,2.6115,0.0055,2.612,55237.0,151316.0
2019-09-24,2.6185,2.6235,2.596,2.603,0.005,2.6065,50438.0,154517.0
2019-09-23,2.594,2.6195,2.5725,2.6175,0.005,2.6115,62437.0,154980.0
2019-09-20,2.6075,2.634,2.586,2.5915,0.002,2.6065,54657.0,156072.0
2019-09-19,2.613,2.624,2.6035,2.607,0.0045,2.6085,41891.0,156366.0
2019-09-18,2.625,2.638,2.5975,2.6125,0.014,2.613,42619.0,156654.0
2019-09-17,2.6425,2.6475,2.606,2.6265,0.0135,2.627,56690.0,159950.0
2019-09-16,2.6915,2.7065,2.638,2.642,0.059,2.6405,75566.0,161089.0
2019-09-13,2.6425,2.7045,2.6405,2.7025,0.059,2.6995,64393.0,161592.0
2019-09-12,2.618,2.668,2.59,2.642,0.026,2.6405,94689.0,165625.0
2019-09-11,2.623,2.638,2.6005,2.6165,0.0135,2.6145,53780.0,167582.0
2019-09-10,2.6275,2.643,2.6025,2.6225,0.0005,2.628,56919.0,168794.0
2019-09-09,2.6315,2.633,2.6135,2.6275,0.0065,2.6275,47611.0,173133.0
2019-09-06,2.6315,2.649,2.62,2.63,0.008,2.634,58296.0,177561.0
2019-09-05,2.5905,2.649,2.5875,2.6315,0.047,2.642,95587.0,180414.0
2019-09-04,2.529,2.5975,2.5275,2.595,0.067,2.595,74972.0,187623.0
2019-09-03,2.555,2.568,2.482,2.529,0.0235,2.528,107263.0,186086.0
2019-08-30,2.575,2.5835,2.546,2.557,0.026,2.5515,59775.0,183231.0
2019-08-29,2.569,2.597,2.553,2.5755,0.013,2.5775,70549.0,182551.0
2019-08-28,2.5535,2.57,2.55,2.567,0.01,2.5625,1261.0,3115.0
2019-08-27,2.549,2.57,2.549,2.554,0.0035,2.5525,595.0,3072.0
2019-08-26,2.516,2.551,2.516,2.543,0.0125,2.549,1162.0,3553.0
2019-08-23,2.564,2.572,2.533,2.533,0.028,2.5365,383.0,3506.0
2019-08-22,2.576,2.582,2.5555,2.5665,0.0265,2.5645,439.0,3522.0
2019-08-21,2.5805,2.5925,2.5805,2.587,0.008,2.591,401.0,3525.0
2019-08-20,2.605,2.605,2.58,2.5835,0.0245,2.583,480.0,3506.0
2019-08-19,2.6045,2.627,2.6045,2.6075,0.006,2.6075,98.0,3477.0
2019-08-16,2.6015,2.6015,2.5935,2.6005,,2.6015,103.0,3464.0
2019-08-15,2.583,2.605,2.583,2.599,0.003,2.6015,269.0,3509.0
2019-08-14,2.614,2.614,2.599,2.6045,0.0385,2.5985,312.0,3488.0
2019-08-13,2.5865,2.6445,2.577,2.6445,0.0445,2.637,235.0,3429.0
2019-08-12,2.5975,2.5975,2.59,2.5915,0.004,2.5925,180.0,3478.0
2019-08-09,2.599,2.6155,2.595,2.5975,0.0185,2.5965,70.0,3447.0
2019-08-08,2.5975,2.6185,2.597,2.614,0.0365,2.615,48.0,3436.0
2019-08-07,2.5685,2.5795,2.556,2.5795,0.013,2.5785,75.0,3419.0
2019-08-06,2.568,2.576,2.564,2.576,0.0125,2.5655,313.0,3398.0
2019-08-05,2.5585,2.5745,2.55,2.555,0.029,2.553,329.0,3534.0
2019-08-02,2.62,2.6265,2.571,2.5755,0.092,2.582,314.0,3624.0
2019-08-01,2.661,2.6745,2.6415,2.6415,0.001,2.674,92.0,3618.0
2019-07-31,2.6875,2.6875,2.675,2.675,0.0115,2.675,344.0,3855.0
2019-07-30,2.705,2.705,2.685,2.685,0.038,2.6865,69.0,3818.0
2019-07-29,2.706,2.722,2.706,2.722,0.0315,2.7215,545.0,3501.0
2019-07-26,2.7095,2.7095,2.6895,2.6935,0.0185,2.69,215.0,3460.0
2019-07-25,2.733,2.733,2.707,2.708,0.0075,2.7085,509.0,3617.0
2019-07-24,2.705,2.7215,2.705,2.7125,0.012,2.716,239.0,3578.0
2019-07-23,2.7225,2.728,2.7035,2.7045,0.0225,2.704,56.0,3543.0
2019-07-22,2.7535,2.7535,2.726,2.7265,0.03,2.7265,300.0,3370.0
2019-07-19,2.7255,2.8005,2.7255,2.7555,0.0425,2.7565,286.0,3319.0
2019-07-18,2.703,2.723,2.703,2.721,0.006,2.714,160.0,3301.0
2019-07-17,2.6995,2.7205,2.689,2.707,0.016,2.72,116.0,3262.0
2019-07-16,2.7215,2.729,2.704,2.705,0.0105,2.704,220.0,3227.0
2019-07-15,2.722,2.722,2.713,2.717,0.016,2.7145,107.0,3207.0
2019-07-12,2.682,2.698,2.682,2.698,0.0065,2.6985,202.0,3229.0
2019-07-11,2.696,2.6975,2.689,2.6915,0.006,2.692,96.0,3241.0
2019-07-10,2.6905,2.6985,2.6905,2.6985,0.0685,2.698,189.0,3175.0
2019-07-09,2.6305,2.6355,2.6185,2.633,0.034,2.6295,118.0,3103.0
2019-07-08,2.6675,2.6675,2.6645,2.6645,0.002,2.6635,130.0,3051.0
2019-07-05,2.6855,2.6855,2.661,2.6655,0.0215,2.6655,92.0,3011.0
2019-07-03,2.6695,2.6885,2.645,2.6885,0.018,2.687,204.0,2971.0
2019-07-02,2.6625,2.669,2.6625,2.668,0.024,2.669,134.0,2885.0
2019-07-01,2.7475,2.7515,2.693,2.693,0.0255,2.693,129.0,2856.0
