Ano;Preco_Zn;Preco_Cu;Producao_Rocha;Teor_Zn;Teor_Cu;Custo_Operacao;Depre
1;3300.00;6400.00;300000;0.0695;0.0144;41880.00;15600.00
2;3300.00;6400.00;400000;0.0861;0.0145;55840.00;15600.00
3;3300.00;6400.00;500000;0.0693;0.0200;69800.00;15600.00
4;3300.00;6400.00;500000;0.0242;0.0143;69800.00;15600.00
5;3300.00;6400.00;500000;0.0555;0.0136;69800.00;15600.00
6;3300.00;6400.00;500000;0.0600;0.0135;69800.00;15600.00
7;3300.00;6400.00;500000;0.0143;0.0015;69800.00;15600.00
8;3300.00;6400.00;500000;0.0137;0.0012;69800.00;15600.00
9;3300.00;6400.00;500000;0.0145;0.0012;69800.00;15600.00
10;3300.00;6400.00;500000;0.0138;0.0016;69800.00;15600.00
