Date,Value
1980-01-31,773.82153320312
1980-02-29,868.62036132812
1980-03-31,740.75244140625
1980-04-30,707.68310546875
1980-05-31,701.06909179688
1980-06-30,676.818359375
1980-07-31,712.09228515625
1980-08-31,767.20776367188
1980-09-30,795.86791992188
1980-10-31,804.68627929688
1980-11-30,800.27709960938
1980-12-31,782.64013671875
1981-01-31,776.02612304688
1981-02-28,731.93383789062
1981-03-31,756.1845703125
1981-04-30,824.52783203125
1981-05-31,850.9833984375
1981-06-30,839.96020507812
1981-07-31,864.2109375
1981-08-31,954.60034179688
1981-09-30,936.96337890625
1981-10-31,890.66650390625
1981-11-30,875.23413085938
1981-12-31,848.77880859375
1982-01-31,820.11865234375
1982-02-28,824.52783203125
1982-03-31,791.45849609375
1982-04-30,740.75244140625
1982-05-31,749.57080078125
1982-06-30,692.25073242188
1982-07-31,723.11547851562
1982-08-31,714.296875
1982-09-30,749.57080078125
1982-10-31,751.775390625
1982-11-30,709.8876953125
1982-12-31,670.20458984375
1983-01-31,698.86450195312
1983-02-28,681.2275390625
1983-03-31,679.02294921875
1983-04-30,696.65991210938
1983-05-31,736.34301757812
1983-06-30,718.7060546875
1983-07-31,740.75244140625
1983-08-31,809.09545898438
1983-09-30,837.75561523438
1983-10-31,857.59716796875
1983-11-30,859.8017578125
1983-12-31,857.59716796875
1984-01-31,956.80517578125
1984-02-29,998.69287109375
1984-03-31,1040.5805664062
1984-04-30,1003.1020507812
1984-05-31,1000.8974609375
1984-06-30,941.37280273438
1984-07-31,853.18798828125
1984-08-31,833.34643554688
1984-09-30,873.02954101562
1984-10-31,844.36938476562
1984-11-30,857.59716796875
1984-12-31,859.8017578125
1985-01-31,866.41577148438
1985-02-28,886.25732421875
1985-03-31,921.53125
1985-04-30,930.349609375
1985-05-31,879.64331054688
1985-06-30,809.09545898438
1985-07-31,767.20776367188
1985-08-31,734.13842773438
1985-09-30,690.04614257812
1985-10-31,632.72583007812
1985-11-30,597.45190429688
1985-12-31,685.63671875
1986-01-31,643.7490234375
1986-02-28,608.47509765625
1986-03-31,626.11206054688
1986-04-30,659.18139648438
1986-05-31,707.68310546875
1986-06-30,804.68627929688
1986-07-31,806.89086914062
1986-08-31,815.70947265625
1986-09-30,870.82495117188
1986-10-31,886.25732421875
1986-11-30,820.11865234375
1986-12-31,798.07250976562
1987-01-31,758.38916015625
1987-02-28,740.75244140625
1987-03-31,731.93383789062
1987-04-30,760.59399414062
1987-05-31,837.75561523438
1987-06-30,877.43872070312
1987-07-31,828.93701171875
1987-08-31,802.48168945312
1987-09-30,756.1845703125
1987-10-31,769.41235351562
1987-11-30,846.57397460938
1987-12-31,866.41577148438
1988-01-31,877.43872070312
1988-02-29,875.23413085938
1988-03-31,981.05590820312
1988-04-30,1069.2407226562
1988-05-31,1175.0625
1988-06-30,1364.6596679688
1988-07-31,1236.7917480469
1988-08-31,1307.3395996094
1988-09-30,1329.3857421875
1988-10-31,1518.9831542969
1988-11-30,1556.4616699219
1988-12-31,1591.7355957031
1989-01-31,1732.8312988281
1989-02-28,1929.4973144531
1989-03-31,1959.9072265625
1989-04-30,1654.3999023438
1989-05-31,1627.0
1989-06-30,1537.0
1989-07-31,1614.0
1989-08-31,1726.0
1989-09-30,1626.0
1989-10-31,1583.0
1989-11-30,1435.0
1989-12-31,1450.0
1990-01-31,1294.0
1990-02-28,1394.0
1990-03-31,1666.0
1990-04-30,1686.0
1990-05-31,1775.0
1990-06-30,1715.0
1990-07-31,1637.0
1990-08-31,1615.0
1990-09-30,1537.0
1990-10-31,1353.0
1990-11-30,1278.0
1990-12-31,1265.0
1991-01-31,1206.0
1991-02-28,1188.0
1991-03-31,1199.0
1991-04-30,1254.0
1991-05-31,1127.7399902344
1991-06-30,1067.4499511719
1991-07-31,1063.4133300781
1991-08-31,1047.7399902344
1991-09-30,1025.6000976562
1991-10-31,991.64990234375
1991-11-30,1100.6501464844
1991-12-31,1185.0791015625
1992-01-31,1157.6591796875
1992-02-29,1135.4750976562
1992-03-31,1217.7727050781
1992-04-30,1304.9499511719
1992-05-31,1377.7368164062
1992-06-30,1385.4091796875
1992-07-31,1320.4091796875
1992-08-31,1363.4001464844
1992-09-30,1367.119140625
1992-10-31,1158.3637695312
1992-11-30,1052.2380371094
1992-12-31,1061.4761962891
1993-01-31,1067.5749511719
1993-02-28,1073.625
1993-03-31,996.76086425781
1993-04-30,1006.0
1993-05-31,979.26318359375
1993-06-30,928.22729492188
1993-07-31,930.06817626953
1993-08-31,886.83331298828
1993-09-30,875.72729492188
1993-10-31,918.57141113281
1993-11-30,929.38635253906
1993-12-31,975.53497314453
1994-01-31,998.59521484375
1994-02-28,969.75
1994-03-31,937.60870361328
1994-04-30,924.34210205078
1994-05-31,956.71429443359
1994-06-30,966.0
1994-07-31,962.64288330078
1994-08-31,946.90911865234
1994-09-30,993.54547119141
1994-10-31,1059.5476074219
1994-11-30,1150.2727050781
1994-12-31,1112.75
1995-01-31,1154.8095703125
1995-02-28,1030.6750488281
1995-03-31,1021.6956787109
1995-04-30,1059.1389160156
1995-05-31,1036.6190185547
1995-06-30,1007.7727050781
1995-07-31,1028.0550537109
1995-08-31,1015.4772949219
1995-09-30,988.02502441406
1995-10-31,980.43182373047
1995-11-30,1033.1904296875
1995-12-31,1017.1578979492
1996-01-31,1019.6904907227
1996-02-29,1035.8333740234
