,VP1,VP0
0,340944392.25349474,320616062.712515
1,104512459.26884599,98281050.97638844
2,188479674.70730427,177241839.37027952
3,198254136.78738433,186433512.90546998
4,148963765.21679613,140082010.36822042
5,-6011917.245374163,-5653465.1408262765
6,7144702.305820028,6718709.4863313865
7,-6478398.240507444,-6092132.863152822
8,61517668.48945958,57849764.086102545
9,10817719.523335738,10172728.22167867
10,121955431.46458206,114684010.50429499
11,117942722.28373288,110910553.46084353
12,380728458.35749185,358028059.86738896
13,74202874.65370086,69778632.6860344
14,249139603.13485843,234285004.93847936
15,-9374239.249587772,-8815313.427690335
16,38076220.98801141,35805979.900297694
17,72529701.88852638,68205220.4921503
18,-16625634.234998135,-15634354.192751383
19,88440128.57332484,83167010.37829538
20,63326322.5840627,59550579.725825325
21,141332201.03422108,132905467.45932329
22,-12332394.468100578,-11597092.804624297
23,200663019.05578655,188698768.95889375
24,28257728.850276783,26572901.537672143
25,-11003237.855186358,-10347185.284092285
26,51486792.720896624,48416965.16772684
27,37193223.67718236,34975630.06139124
28,113147579.59861204,106401314.40961112
29,16209771.89171749,15243287.05640175
30,317635559.5595645,298696986.3629726
31,8016777.553937467,7538788.475143636
32,398977553.15342814,375189078.07000047
33,27116106.677280013,25499346.98001457
34,6824428.307684756,6417531.374579429
35,50995021.323597066,47954514.94786932
36,282720160.183311,265863368.53439063
37,260857541.34807146,245304277.57762444
38,59139932.85824369,55613797.59545884
39,-20265840.81739529,-19057518.580921177
40,134669625.22318864,126640138.35407543
41,20656327.490093272,19424723.035332773
42,260864988.1766611,245311280.39954016
43,56414330.81972387,53050705.742457494
44,394939793.5097368,371392064.1622976
45,199803557.78992316,187890551.86139664
46,208974807.70982763,196514978.91249767
47,5654190.2449466195,5317067.10933215
48,115710631.76672438,108811548.1994544
49,212616098.76482835,199939163.11311835
50,42767073.387901805,40217146.827777766
51,122922334.29388848,115593263.11322872
52,1393737.8866144754,1310638.2266799533
53,-2242288.5851740865,-2108595.2840931714
54,53495562.71750742,50305965.08044438
55,171800116.83533332,161556776.66151738
56,316890107.63978684,297995980.96475834
57,167025786.5068719,157067109.05947
58,77116169.63977218,72518226.55874965
59,102486681.77211821,96376057.61181194
60,177145496.4372394,166583445.5277784
61,227963585.8851461,214371577.91403043
62,65754958.863598995,61834411.98527119
63,3354631.583831525,3154616.3969737124
64,162871427.36135626,153160447.73113632
65,314495250.92580366,295743914.211811
66,5784678.538831203,5439775.222343854
67,1980861.1623945436,1862755.1034623724
68,13601669.385273594,12790688.991245825
69,90877758.8141142,85459300.34671274
70,66377618.424332716,62419946.346030876
71,206130866.87952673,193840604.05162448
72,181859478.58814752,171016363.1274247
73,123109447.955852,115769220.38644254
74,-44137708.583013214,-41506059.82842066
75,17138930.061476536,16117045.477991564
76,-1468636.9856353612,-1381071.5723351494
77,2261147.3185203276,2126329.5920055346
78,38331009.06852426,36045576.6001002
79,242141830.17079282,227704464.3386895
80,22842900.93414956,21480925.115183476
81,83296093.24458718,78329680.91628824
82,293236.5846717894,275752.76601362095
83,-15171058.534173336,-14266505.520909902
84,115086260.23181371,108224403.93856862
85,75075649.7906997,70599369.83383854
86,280904407.88273704,264155877.90923798
87,12572183.713708412,11822584.953943552
88,406158936.76800454,381942281.7936791
89,-26879211.853133533,-25276576.676350664
90,-6201410.102185906,-5831659.752743976
91,146227622.0226664,137509005.86117673
92,209468812.79123747,196979529.6361941
93,97971315.47461705,92129913.6748463
94,320582463.94149375,301468185.7186199
95,132042361.03940725,124169521.099625
96,160389980.67035598,150826953.80668435
97,14000296.966817196,13165548.964270683
98,329342755.4708344,309706157.19480914
99,386113457.81044906,363091986.30684334
100,77347327.82169472,72735602.25940843
101,-29032960.488864757,-27301911.08087486
102,40514102.72676651,38098506.37146856
103,66963311.22455372,62970718.037346184
104,297605860.7703492,279861530.1741489
105,422021100.1151552,396858685.97575754
106,28388943.082397785,26696292.30587461
107,56083307.84476387,52739419.54649581
108,86355106.38961352,81206304.70781541
109,499836460.13294625,470034414.6702813
110,33415604.843132082,31423246.433678333
111,94065683.97987099,88457149.96116583
112,56776960.520472765,53391714.1576664
113,34563845.587819435,32503024.94000445
114,264751492.285549,248966057.17082426
115,154445980.32114717,145237356.1126762
116,35228167.626861975,33127737.71243981
117,124766368.18792987,117327349.081642
118,102793353.8356075,96664444.78512774
119,278687100.00867665,262070773.89651635
120,232399125.40665668,218542654.63417524
121,-19857754.92088475,-18673764.231647596
122,199436865.1901341,187545722.7917847
123,216289225.96647635,203393285.2749488
124,338001624.1398504,317848753.0059776
125,-27695.41332553854,-26044.113284690255
126,216216163.68930417,203324579.23322475
127,378561946.9621053,355990723.66479146
128,82050554.83724457,77158405.98350538
129,289791248.8044824,272512853.44841623
130,31543328.292146057,29662601.736991864
131,45210256.09723649,42514658.20661803
132,366289748.7719237,344450238.0197359
133,-11928813.906757085,-11217575.166249262
134,-10096325.047444126,-9494345.876117283
135,441400643.20188296,415082751.0808216
136,78322708.6142453,73652827.34495983
137,105352675.800977,99071170.78031681
138,1212932.9822253317,1140613.5602491307
139,32168526.16533425,30250523.06689836
140,81190879.05847499,76349987.1631322
141,98846685.50814642,92953091.00212741
142,188202953.4224852,176981617.20260864
143,98382617.6818926,92516692.5668822
144,59841592.65547583,56273621.914801136
145,406467397.2677272,382232350.7702349
146,259721785.92441317,244236239.97263294
147,39736935.6089089,37367676.74922366
148,331330160.11932224,311575065.6382159
149,101054287.41661893,95029067.7537991
