,VP1,VP0
0,82418581.2267608,77504489.3175092
1,105054629.63391571,98790895.19649462
2,154386113.30437896,145181058.58252558
3,152159009.26078898,143086742.48309538
4,114026197.88479467,107227546.31705263
5,99598977.1966117,93660528.35744767
6,127540650.44840984,119936218.66688196
7,102438414.68480362,96330668.3816471
8,94374721.37644063,88747761.43790606
9,127684412.95522057,120071409.53655629
10,176133498.58547518,165631786.6236339
11,105401364.48455724,99116956.46966332
12,90560733.34812176,85161177.0779466
13,145428047.12811187,136757104.49438363
14,129062146.39249682,121366997.55666506
15,112180718.59532963,105492101.1328836
16,129906070.07672012,122160603.47895968
17,156917066.4812602,147561107.23831365
18,124010155.8207523,116616224.81255968
19,134599238.45703095,126573948.29978715
20,157790805.87109002,148382751.14673078
21,147215933.4281381,138438390.59005246
22,121210226.85276698,113983237.66865405
23,112720322.92334789,105999532.31228605
24,168314189.0234863,158278692.3893365
25,107866599.34130251,101435205.16766113
26,93047191.47686861,87499383.64022267
27,143483496.09875488,134928494.58337954
28,130056533.0984484,122302095.35477994
29,114071564.1379196,107270207.67118374
30,122252675.56696884,114963531.84542006
31,119835105.28268477,112690105.78683384
32,140265927.16191924,131902768.66597734
33,142127106.69576266,133652977.98955034
34,152774872.44109192,143665885.68804222
35,112299500.58292621,105603800.91164419
36,112007155.01103945,105328886.03303231
37,130133120.6875837,122374116.51670288
38,109734052.12163374,103191313.70422909
39,168076489.0573751,158055164.9491644
40,132437277.55776912,124540891.27638736
41,126155035.5574879,118633219.11370873
42,101902145.83863968,95826373.81068777
43,132375368.92818211,124482673.86170891
44,178382605.2280528,167746793.4480537
45,121289802.53833547,114058068.7659658
46,186865871.92478642,175724257.30739382
47,138103801.1962937,129869556.41806349
48,154744349.24093083,145517935.2055439
49,147632687.02774912,138830295.84282812
50,88571777.36348772,83290809.79462807
51,132521391.82141097,124619990.34544247
52,140158588.92026204,131801830.31591049
53,119459327.16086347,112336732.9066538
54,84954885.35682972,79889569.88343205
55,150947516.7001802,141947483.4613512
56,157126347.07421604,147757909.7704572
57,179015529.14728838,168341980.16938567
58,133222209.97764513,125279023.20544675
59,117202271.10025032,110214250.63706079
60,100145519.80617255,94174484.13312073
61,148696590.07867336,139830765.17168438
62,78096009.45097439,73439644.80024122
63,217344563.22716007,204385699.5367521
64,80842176.04189295,76022075.07314721
65,90145835.25769854,84771016.70223486
66,118482298.4361963,111417958.14461896
67,200734739.74053252,188766213.39875185
68,107571291.08082254,101157504.2465937
69,140644927.1041335,132259171.2700438
70,154628277.85161918,145408784.40946043
71,137928303.4498334,129704522.47773932
72,133457709.3409127,125500481.25062267
73,147617095.44251773,138815633.88392246
74,126847290.57430314,119284199.39943011
75,128712098.63514473,121037820.90418582
76,120252444.21434468,113082561.47205879
77,135040580.5368109,126988975.97920765
78,126591112.40953727,119043295.49719177
79,111477057.36076981,104830394.70909746
80,160117384.7854013,150570611.06771705
81,109752984.21714318,103209117.00018892
82,134664567.06878358,126635381.7850079
83,174273773.36735395,163882944.90425497
84,156432401.64084393,147105339.85688704
85,118445512.63720982,111383365.6471245
